>
# @D(90,,)|(180.0,,)|UCF_9|UCERF3||(11.0,,)|"Ortigalita (South)"|(1.23,0.35,2.75)|Dextral|(0.0,,)|||||||||||||
-121.1429 37.1081
-121.138 37.034
-121.011405 36.907055
-120.903581 36.793956
-120.82285 36.62523
>
# @D(90,,)|(150.0,,)|UCF_11|UCERF3||(14.0,,)|"Monterey Bay-Tularcitos"|(0.57,0.23,1.73)|Dextral|(0.0,,)|||||||||||||
-121.50309 36.35759
-121.59573 36.40017
-121.6489 36.43872
-121.73531 36.46929
-121.86559 36.58495
-122.01049 36.8136
-122.12216 36.92128
>
# @D(90,,)|(180.0,,)|UCF_13|UCERF3||(10.0,,)|Mendocino|(8.95,4.44,12.97)|Dextral|(0.0,,)|||||||||||||
-124.34336 40.20667
-124.411908 40.262165
-124.696 40.3717
-125.354058 40.399137
-125.840999 40.41508
-126.381199 40.412181
>
# @D(90,,)|(180.0,,)|UCF_28|UCERF3||(12.3999996185302,,)|"San Jacinto (Superstition Mtn)"|(5.12,2.43,7.94)|Dextral|(0.0,,)|||||||||||||
-115.943 33.001
-115.80666 32.93785
-115.698 32.8842
>
# @D(80,,)|(180.0,,)|UCF_30|UCERF3|E|(12.1999998092651,,)|Hosgri|(1.42,0.88,2.12)|Dextral|(0.0,,)|||||||||||||
-120.746 34.8548
-120.766 34.8931
-120.795 34.934
-120.805 34.9754
-120.834 35.0469
-120.866 35.1085
-120.879 35.1429
-120.91703 35.20629
-120.97277 35.31748
-121.002 35.3547
-121.046 35.4214
-121.064 35.4542
-121.091 35.502
-121.158 35.6027
-121.194 35.6523
-121.241 35.7005
-121.286 35.7437
-121.319 35.7685
-121.365 35.7917
-121.418 35.8356
-121.453 35.8623
-121.494 35.8946
-121.517 35.9287
-121.561 35.968
-121.727 36.1462
>
# @D(90,,)|(180.0,,)|UCF_31|UCERF3||(13.0,,)|"San Juan"|(0.42,0.01,1.52)|Dextral|(0.0,,)|||||||||||||
-120.3719 35.7928
-120.29537 35.6797
-120.22916 35.50193
-120.12495 35.30454
-120.08205 35.28247
-119.96066 35.14761
>
# @D(90,,)|(180.0,,)|UCF_32|UCERF3||(10.1999998092651,,)|"San Andreas (Parkfield)"|(30.54,23.16,43.26)|Dextral|(0.0,,)|||||||||||||
-120.300046 35.751982
-120.56089 36.002647
>
